ingredients,directions,image_filename,category_url,title,category,rating,rating_count,cook_time,total_time,yield,servings,calories,fat,carbs,protein,verb_count,ingredient_count,yield_servings_merge,like_or_dislike
"['1 pound lean ground beef', '2 tablespoons dried minced onion', '1 (12 ounce) bottle chili sauce (such as Heinz®)', '2 ½ tablespoons brown sugar', '1 tablespoon water, or as needed', '½ cup salted butter, softened, or as needed', '16 slices bread', '16 slices American cheese']","['Heat a large skillet over medium-high heat. Cook and stir ground beef and minced in the hot skillet until browned and crumbly, 5 to 7 minutes.', 'Add chili sauce and brown sugar. Rinse chili sauce jar with water to get the remnants of the sauce; add to the beef mixture. Stir, reduce heat, and simmer for 10 to 15 minutes. Remove from the heat.', 'Butter one side of 2 slices of bread. Place one slice, butter-side down, in a new skillet over medium heat. Layer with 1 slice of American cheese, a scoop of Sloppy Joe mixture, another slice of cheese, and the second piece of bread, butter-side up. Cook until sandwich is browned on the bottom and the bottom slice of cheese is melted, 3 to 5 minutes. Flip sandwich over and repeat on the other side. Repeat to assemble and cook remaining sandwiches.']",5410153-e9807f995fb74fe58bd2fcd56b541010.jpg,https://www.allrecipes.com/recipes/14930/main-dish/sandwiches/sloppy-joes/,Grilled Cheese Sloppy Joes,Sloppy Joes,4.8,4,1 hr,1 hr 10 mins,8 sandwiches,8,585,39g,32g,27g,13,8,8,1.0
"['1 cup butter', '1 cup packed brown sugar', '1 cup white sugar', '4  eggs', '2 teaspoons vanilla extract', '1 ½ cups all-purpose flour', '1 teaspoon baking powder', '½ teaspoon salt', '2 cups peeled and finely shredded yam', ""1 cup confectioners' sugar"", '2 tablespoons butter or margarine', '2 tablespoons milk']","['Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.', 'In a large bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Combine the flour, baking powder, and salt; stir into the batter just until blended. Fold in the shredded yam. Spread the batter evenly in the greased baking dish.', ""Bake for 30 minutes in the preheated oven, until a toothpick inserted into the center, comes out clean. Mix together the confectioners' sugar, butter and milk until smooth. Spread over the brownies while they are still warm. They will absorb some of the glaze. Serve hot or warm.""]",1059053-70a5c73ef725427e9770ad083c423e87.jpg,https://www.allrecipes.com/recipes/2452/fruits-and-vegetables/vegetables/yams/,Golden Yam Brownies,Yams,4.5,497,30 mins,1 hr,24 servings,24,221,10g,32g,2g,11,12,24,1.0
"['1 (14 ounce) can sweetened condensed milk (such as La Lechera®)', '½ cup white sugar (Optional)', '5  large eggs', '2 teaspoons vanilla extract', '2 (15.25 ounce) cans whole kernel corn, drained and rinsed', '1 (15 ounce) can cream-style corn', '½ cup butter, melted', '2 ½ cups cornmeal', '½ cup all-purpose flour', '1 tablespoon baking soda', '1 teaspoon salt']","['Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 2-quart baking dish.', 'Whisk sweetened condensed milk and sugar together in a large bowl. Whisk in eggs, and vanilla. Stir in whole kernel corn, cream-style corn, and butter.', 'Whisk cornmeal, flour, baking soda, and salt in a separate bowl; stir cornmeal mixture into the corn mixture.', 'Pour batter into the prepared baking dish.', 'Bake until a toothpick inserted into the center of the cornbread comes out clean, about 45 minutes. Serve warm.']",9281485-authentic-mexican-corn-bread-Lisa-Lodermeier-4x3-1-1a3f416bc27d475a93810ec146b95776.jpg,https://www.allrecipes.com/recipes/342/bread/quick-bread/cornbread/,Authentic Mexican Corn Bread,Cornbread,4.3,50,45 mins,1 hr,1 pan cornbread,12,448,14g,74g,11g,9,11,12,0.0
"['cooking spray', '½ cup milk', '½ cup all-purpose flour', '2  eggs, lightly beaten', '¼ teaspoon salt', '2 tablespoons butter, cut into 6 pieces', '½ cup grated sharp Cheddar cheese', '¼ cup brown sugar', '¼ teaspoon ground nutmeg', '1  pear, thinly sliced']","['Preheat oven to 400 degrees F (200 degrees C). Spray 6 custard cups with cooking spray.', 'Pour milk, flour, eggs, and salt in a bowl. Mix until batter is fully combined.', 'Place a piece of butter in each prepared cup. Sprinkle each cup with Cheddar cheese, brown sugar, and nutmeg; line each evenly with pear slices. Pour batter evenly into the prepared cups.', 'Bake in the preheated oven until golden brown, 15 to 20 minutes.']",5683850-2c7cb5085e914504a3727673a6e891ef.jpg,https://www.allrecipes.com/recipes/14912/bread/quick-bread/popovers-and-yorkshire-pudding/,Fancy Pear Popovers,Popovers And Yorkshire Pudding,3.8,4,15 mins,40 mins,6 popovers,6,201,10g,23g,7g,3,10,6,1.0
"['¼ teaspoon salt', '¾ cup warm water', '1 cup all-purpose flour', '¼ teaspoon vegetable oil (Optional)', '¼ cup all-purpose flour', '1 tablespoon vegetable oil (Optional)', '1 tablespoon Asian (toasted) sesame oil, or as needed', '½ cup finely chopped green onion', '1 tablespoon vegetable oil, or as needed (Optional)']","['Dissolve salt in warm water, and mix in 1 cup of flour to make a soft dough. Turn the dough out onto a well-floured work surface, and knead until slightly springy, about 5 minutes. If the dough is sticky, knead in 1/4 teaspoon of vegetable oil. Divide the dough into 8 equal-size pieces, and keep the pieces covered with a cloth.', 'In a bowl, mix 1/4 cup of flour with 1 tablespoon vegetable oil to make a mixture like fine crumbs.', 'On a floured work surface, roll a piece of dough out into a thin square about 5x7 inches in size, brush the dough with toasted sesame oil, and sprinkle lightly with about 1 1/2 teaspoon of the flour-oil mixture. Sprinkle about 1 tablespoon of chopped green onion onto the dough, and spread the onion out evenly. Starting with a long end, roll the dough up into a rope shape, and pinch the seam and the ends closed. Roll the rope shape into a flat spiral, and press lightly with your hands to compact the spiral and keep it from unrolling.', 'Place the spiral down onto the floured work surface, and gently roll it out into a pancake with the onions folded inside, turning the pancake over often as you roll it out. Roll gently and turn often to avoid making holes in the pancakes. Finished pancakes should be about 5 inches in diameter. Repeat with the rest of the dough pieces, making 8 onion pancakes.', 'Heat a non-stick skillet over medium heat, and brush with vegetable oil. Pan-fry each pancake in the hot skillet until golden brown on both sides, about 5 minutes per side. Cut into wedges and serve warm.']",3103210-pan-fried-chinese-pancakes-jessFu-4x3-1-371dd5c4e3ff4cbea21d44bea7e3472f.jpg,https://www.allrecipes.com/recipes/17668/holidays-and-events/lunar-new-year/,Pan-Fried Chinese Pancakes,Lunar New Year,3.8,25,40 mins,1 hr 10 mins,8 pancakes,8,120,6g,15g,2g,34,9,8,1.0
"['1 pound fresh, ground pork sausage', '1  onion, finely chopped', '1 cup chopped celery', '1  green bell pepper, chopped', '½ cup uncooked long-grain rice', '2 ½ cups hot water', '1 envelope chicken noodle mix -dry', '2 tablespoons sliced almonds']","['Preheat oven to 375 degrees F (190 degrees C).', 'In a Dutch-oven over medium heat, brown the sausage with the onion, celery and bell pepper; drain. Pour in rice, hot water, and soup mix. Stir until any lumps of soup have melted. Top with almonds. Cover and bake in a preheated oven for 1 1/2 hours.']",8026424-046a14e347a645d2a9a6f1a187b17595.jpg,https://www.allrecipes.com/recipes/1004/main-dish/casseroles/rice/,My Mom's Sausage and Rice Casserole,Rice,4.4,52,1 hr 30 mins,1 hr 55 mins,6 servings,6,414,32g,20g,12g,4,8,6,1.0
"[""9  Hawaiian bread rolls (such as King's®), split"", '1 (12 ounce) can fully cooked luncheon meat, teriyaki flavor (such as SPAM® Teriyaki)', '3  pineapple rings', '3 tablespoons sriracha hot sauce', '1 tablespoon lime juice']","[""Set oven rack about 6 inches from the heat source and preheat the oven's broiler or set a toaster oven to broil setting. Place rolls cut-side up in a single layer on a baking sheet."", 'Toast rolls in preheated oven until lightly brown, 1 to 3 minutes.', 'Slice luncheon meat lengthwise into nine 1/4-inch thick slices.', 'Heat a cast-iron or non-stick skillet over medium-high heat. Cook luncheon meat slices until lightly browned, about 1 minute per side; transfer to toasted roll bottoms. Cook pineapple rings in the same skillet until lightly browned, 1 1/2 to 2 minutes per side.', 'Spread sriracha evenly on each luncheon meat slice. Cut each pineapple ring into 3 pieces. Top each luncheon meat slice with 1 pineapple piece, sprinkle with lime juice, and cover with roll tops.']",3624309-e9bc2972996d41378b31f8cb8d006aec.jpg,https://www.allrecipes.com/recipes/17308/everyday-cooking/more-meal-ideas/mini-foods/main-dishes/sliders/,Spicy Teriyaki Spam® and Pineapple on a Hawaiian Roll,Sliders,5.0,1,6 mins,16 mins,9 sandwiches,9,402,10g,47g,19g,14,5,9,0.0
"['7 large eggs', '¼ cup heavy cream', '1 teaspoon smoked paprika', 'salt and freshly ground black pepper to taste', '2 tablespoons unsalted butter', '½ cup chopped onion', '1 ½ cups chopped fresh broccoli', '1 cup frozen diced hash brown potatoes, thawed', '1 cup shredded Cheddar cheese', '4 slices bacon, cooked and crumbled']","['Position a rack in the center of the oven and preheat the oven to 400 degrees F (200 degrees C).', 'Whisk eggs, cream, smoked paprika, salt, and pepper together in a bowl. Set aside.', 'Melt butter in a 12-inch nonstick, oven-proof skillet over medium-high heat until bubbly. Add chopped onion and cook until softened, 1 to 2 minutes. Add chopped broccoli and cook, stirring occasionally, about 2 minutes. Add potatoes and cook, stirring occasionally, about 2 minutes. Lightly season vegetables with additional salt and pepper.', 'Gently pat the vegetables into an even layer with the back of a spatula or spoon and turn off the heat. Sprinkle cheese over the vegetables, followed by bacon.', 'Pour the egg mixture into the skillet and gently shake to eliminate any holes around the vegetables. Let the residual heat cook the eggs slightly, about 2 minutes.', 'Bake in the preheated oven for 8 to 10 minutes. Check for doneness by using a knife to cut the center slightly. Eggs should not be runny enough to fill the cut. Allow to cool in the skillet for 5 minutes before serving.']",8600461-d95612ba846d457d9c2988dcc19a47ef.jpg,https://www.allrecipes.com/recipes/1564/breakfast-and-brunch/eggs/frittata/,Broccoli-Cheddar Frittata,Frittata,5.0,2,15 mins,40 mins,8 servings,8,179,15g,6g,8g,23,10,8,0.0
"['3 tablespoons olive oil, divided', '1 pound cubed beef stew meat', '2 slices bacon, chopped', '1  white onion, chopped', '1  carrot, sliced', '⅓ pound crimini mushrooms, sliced', '1 clove garlic, crushed', '1 teaspoon white sugar', '1 ½ tablespoons all-purpose flour', '1 cup Irish stout beer (such as Guinness®)', '1 ¼ cups beef stock', '½ teaspoon ground thyme', '2  bay leaves', '½ teaspoon cornstarch, or as needed', '1 teaspoon water', '1 sheet frozen puff pastry, thawed', '1  egg, beaten']","['Heat 2 tablespoons of olive oil in a large pot over medium heat. Add beef and brown on all sides, about 10 minutes; set aside. Heat remaining 1 tablespoon of olive oil; add bacon and cook just until it begins to brown. Stir in onion, carrot, mushrooms, garlic, and sugar; cook and stir until vegetables are soft and browned, 10 to 15 more minutes.', 'Stir in flour until smoothly incorporated, and gradually mix in Guinness and beef stock. Mix in thyme, bay leaves, and reserved cooked beef. Cover, and bring mixture to a boil; reduce heat to a simmer until beef is tender, about 1 hour and 15 minutes; stir occasionally. Remove the cover, turn the heat up to medium, and let stew boil until slightly thickened, about 15 more minutes. Mix cornstarch with water, and stir into the stew; let simmer for 30 more minutes to blend flavors. Remove from heat; discard bay leaves.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Spread the filling into a 9-inch pie dish; trim the puff pastry into a 10-inch circle, and place on top of the filling. Pinch and crimp the edges of the pastry with a fork, sealing it to the dish; cut 2 steam vents into the pastry with a sharp knife. Brush the top of the pie with beaten egg.', 'Bake in the preheated oven until the crust is golden brown, 30 to 40 minutes.', 'ReneePaj']",ReneePajestka_BeefMushroomandGuinnessPie_4x3ReneePaj-5b7a870bd6624e40b0e47ed01986fb9f.jpg,https://www.allrecipes.com/recipes/197/holidays-and-events/st-patricks-day/,"Beef, Mushroom, and Guinness Pie",St Patricks Day,4.8,105,2 hrs 35 mins,3 hrs,1 pot pie,6,500,32g,29g,22g,30,17,6,1.0
"['1 tablespoon chili powder', '1 tablespoon ground cumin', '½ tablespoon paprika', '½ tablespoon dried Mexican oregano', '1 teaspoon freshly ground black pepper', '1 teaspoon garlic powder', '½ teaspoon onion powder', '2  limes, divided', '1 pound skinless, boneless turkey breast, cut into 1/2-inch thick slices', '1 ½ tablespoons vegetable oil, divided', '1 large red bell pepper, sliced into strips', '1 medium yellow bell pepper, sliced into strips', '1 large red onion, halved and sliced into strips', '1  jalapeno pepper, seeded and chopped, or more to taste', '¼ cup chopped fresh cilantro']","['Mix chili powder, cumin, paprika, oregano, pepper, garlic powder, and onion powder together in a small bowl. Squeeze the juice of 1 lime over the turkey breast. Sprinkle seasoning mixture over the meat. Add 1 tablespoon oil. Toss to coat and set aside.', 'Place bell peppers and onion into a bowl and cover with remaining oil. Toss to coat.', ""Preheat an air fryer to 375 degrees F (190 degrees C) according to manufacturer's instructions."", 'Cook the bell peppers and onion in the preheated air fryer for 8 minutes. Shake and cook another 5 minutes. Add jalapenos. Cook for 5 minutes. Open the basket, shake, and place turkey strips in one single layer on top of the vegetables. Close the basket and cook, 7 to 8 minutes. Open, shake the basket to distribute mixture, and continue to cook until turkey strips are a bit crispy and no longer pink in the centers and peppers are tender, about 5 minutes more.', 'Remove the basket and place the fajitas in a bowl or on a platter. Top with cilantro and squeeze juice of remaining lime over.']",7560608-283346f303834619b61c022c1736f472.jpg,https://www.allrecipes.com/recipes/1220/world-cuisine/latin-american/mexican/main-dishes/fajitas/,Air Fryer Turkey Fajitas,Fajitas,4.5,2,30 mins,50 mins,4 servings,4,247,7g,15g,32g,18,15,4,1.0
"['1 ½ cups rolled oats', '1 ½ cups sifted pastry flour', '1 ⅓ cups packed brown sugar, divided', '¾ teaspoon baking soda', '¼ teaspoon salt', '¾ cup butter, softened', '¾ pound pitted dates, diced', '1 cup water', '1 teaspoon lemon juice']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Combine oats, pastry flour, 1 cup brown sugar, baking soda, and salt in a large bowl. Mix in butter until crumbly. Press half of the mixture into the bottom of a 9-inch square baking pan.', 'Combine dates, water, and remaining 1/3 cup brown sugar in a small saucepan over medium heat. Bring to a boil, and cook until thickened. Stir in lemon juice, and remove from heat. Spread the filling over the base, and spread the remaining crumb mixture on top.', 'Bake in the preheated oven until the top is lightly toasted, 20 to 25 minutes. Cool before cutting into 12 squares.']",7368576-869e126fb14a489bbcb6df6fb3c827f6.jpg,https://www.allrecipes.com/recipes/836/desserts/cookies/bar-cookies/,Gramma's Date Squares,Bar Cookies,4.6,476,25 mins,50 mins,12 squares,12,363,13g,64g,4g,13,9,12,0.0
"['6 (5-inch) corn tortillas', '3 cups chopped cooked chicken', '4 sprigs fresh cilantro, chopped', '½ cup chopped white onion', '1 cup guacamole', '1  lime, cut into wedges']","['Place a paper towel on a microwave-safe plate and top with tortillas; heat in the microwave for 10 seconds.', 'Place chicken in a microwave-safe bowl; heat in the microwave until heated through, 30 seconds to 1 minute.', 'Layer chicken, cilantro, onion, and guacamole, in that order, onto each tortilla. Squeeze lime juice over each taco.']",5414541-1e498b617cf84c479998b9903009a851.jpg,https://www.allrecipes.com/recipes/728/world-cuisine/latin-american/mexican/,Traditional Mexican Street Tacos,Mexican,4.4,9,0 mins,10 mins,6 tacos,2,697,30g,44g,64g,1,6,2,0.0
